level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L2b-TwoStage,Qwen-1.5B,shoaib,shoaib,0.9653979238754326,0.9584141124463068,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,shoaib,motionsense,0.9003598461347562,0.8341767009017083,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,shoaib,hhar,0.6846954759052797,0.5970867487649442,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,motionsense,uci,0.8662016487000634,0.8151189593396944,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,motionsense,shoaib,0.9339328951919752,0.9186188442663576,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,motionsense,motionsense,0.9565487274984482,0.9154105375818478,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,motionsense,hhar,0.7806136552105408,0.7197579949170587,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,hhar,uci,0.8725428027901078,0.80723138382898,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,hhar,shoaib,0.6897267381528883,0.6022550117139099,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,hhar,motionsense,0.8287628738056831,0.7023492961445362,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,hhar,hhar,0.9237502879520848,0.901805450259325,2523664,False,True,True
L3-Full,GPT-2,uci,uci,0.9126984126984128,0.8777399953365379,3084305,True,True,True
L3-Full,GPT-2,uci,shoaib,0.7907298512625389,0.7368381917150635,3084305,True,True,True
L3-Full,GPT-2,uci,motionsense,0.8502295570169996,0.7173008629355025,3084305,True,True,True
L3-Full,GPT-2,uci,hhar,0.7684050492951258,0.7050633564713743,3084305,True,True,True
L3-Full,GPT-2,shoaib,uci,0.7660114140773621,0.6769514882990725,3084305,True,True,True
L3-Full,GPT-2,shoaib,shoaib,0.8598615916955017,0.8298404726426776,3084305,True,True,True
L3-Full,GPT-2,shoaib,motionsense,0.8532075939942921,0.7821352637707343,3084305,True,True,True
L3-Full,GPT-2,shoaib,hhar,0.6621671427255137,0.568784953616793,3084305,True,True,True
L3-Full,GPT-2,motionsense,uci,0.8157894736842105,0.728910501691218,3084305,True,True,True
L3-Full,GPT-2,motionsense,shoaib,0.8810100311310965,0.8559157271638905,3084305,True,True,True
L3-Full,GPT-2,motionsense,motionsense,0.909993792675357,0.8125404920463277,3084305,True,True,True
L3-Full,GPT-2,motionsense,hhar,0.7438496268312909,0.6457103037488421,3084305,True,True,True
